# Radius 	finiterdf__met_met	rdf__met_met	finiterdf__met_wat	rdf__met_wat	finiterdf__wat_wat	rdf__wat_wat	
2.39325 0.00280487	0.00280928	0.00114273	0.00113994	0.000207768	0.000208095	
2.40342 0.0055624	0.00557098	0.00159662	0.00159268	0.000309022	0.000309499	
2.41358 0.00990776	0.00992273	0.00311533	0.00310755	0.000919277	0.000920665	
2.42374 0.0148892	0.0149112	0.00749525	0.00747631	0.00151931	0.00152155	
2.4339 0.024709	0.0247448	0.00999409	0.00996852	0.00472082	0.00472766	
2.44407 0.0374532	0.0375063	0.0192246	0.0191748	0.0072715	0.00728178	
2.45423 0.0621366	0.0622228	0.0325007	0.0324155	0.0141264	0.014146	
2.46439 0.095328	0.0954574	0.0543262	0.0541821	0.0263548	0.0263904	
2.47455 0.126224	0.126392	0.0801168	0.0799019	0.0426577	0.042714	
2.48472 0.181863	0.1821	0.125531	0.125191	0.0731501	0.0732444	
2.49488 0.237263	0.237566	0.182631	0.182131	0.117962	0.118111	
2.50504 0.317361	0.317758	0.249754	0.249064	0.178071	0.17829	
2.5152 0.414593	0.415104	0.352893	0.35191	0.266457	0.266778	
2.52537 0.521076	0.52171	0.454554	0.453279	0.381128	0.381579	
2.53553 0.622048	0.622796	0.607749	0.606036	0.50793	0.508523	
2.54569 0.756651	0.757555	0.742052	0.739954	0.667865	0.668637	
2.55585 0.890464	0.891524	0.919111	0.916509	0.898571	0.899606	
2.56602 1.03081	1.03204	1.11576	1.1126	1.13492	1.13623	
2.57618 1.19564	1.19707	1.32873	1.32499	1.40588	1.40753	
2.58634 1.33179	1.3334	1.56062	1.55626	1.72291	1.72497	
2.5965 1.46524	1.46704	1.78226	1.77733	2.06177	2.06432	
2.60666 1.60236	1.60436	2.02475	2.01923	2.39513	2.39822	
2.61683 1.75234	1.75458	2.24523	2.2392	2.79364	2.79743	
2.62699 1.85658	1.85902	2.47685	2.47034	3.12558	3.13006	
2.63715 1.97842	1.98109	2.6971	2.69018	3.51623	3.5216	
2.64731 2.04867	2.05152	2.88704	2.87983	3.87015	3.87649	
2.65748 2.13549	2.13854	3.07959	3.07215	4.20349	4.21089	
2.66764 2.19383	2.19707	3.20525	3.19778	4.51626	4.52482	
2.6778 2.23596	2.23937	3.33486	3.32738	4.79795	4.80775	
2.68796 2.26644	2.27001	3.46048	3.45305	5.08588	5.09708	
2.69813 2.30302	2.30676	3.509	3.50181	5.23963	5.25205	
2.70829 2.30491	2.30877	3.58797	3.58098	5.41057	5.42435	
2.71845 2.26661	2.27053	3.61071	3.60406	5.54346	5.55859	
2.72861 2.24976	2.25376	3.62746	3.62116	5.57937	5.59563	
2.73878 2.22183	2.22589	3.58104	3.57519	5.65862	5.67618	
2.74894 2.1548	2.15885	3.57733	3.57185	5.65111	5.66973	
2.7591 2.1213	2.12537	3.50116	3.49616	5.61323	5.63279	
2.76926 2.0374	2.0414	3.44071	3.43614	5.52136	5.54165	
2.77943 1.99203	1.99602	3.34762	3.34351	5.45226	5.47331	
2.78959 1.90811	1.91201	3.28776	3.28403	5.31305	5.33454	
2.79975 1.83417	1.83798	3.15664	3.15335	5.17063	5.19246	
2.80991 1.78566	1.78943	3.03765	3.03475	5.04709	5.06928	
2.82008 1.69395	1.69758	2.9164	2.91385	4.89324	4.91558	
2.83024 1.618	1.62151	2.8146	2.81236	4.67483	4.69693	
2.8404 1.54759	1.55099	2.70482	2.70287	4.53472	4.55686	
2.85056 1.47243	1.47569	2.58594	2.58426	4.30437	4.32602	
2.86073 1.38543	1.38852	2.47159	2.47014	4.09811	4.11929	
2.87089 1.29947	1.30239	2.33584	2.33461	3.94794	3.96886	
2.88105 1.26459	1.26744	2.22559	2.22454	3.74179	3.76208	
2.89121 1.19008	1.19278	2.12612	2.12522	3.5617	3.58144	
2.90138 1.13094	1.13351	2.00943	2.00868	3.40964	3.42891	
2.91154 1.05504	1.05744	1.89614	1.89551	3.19713	3.21553	
2.9217 0.990768	0.993023	1.79361	1.79308	3.05769	3.07558	
2.93186 0.946532	0.948684	1.71316	1.7127	2.90141	2.91864	
2.94203 0.907007	0.909065	1.6249	1.62452	2.74618	2.76272	
2.95219 0.843971	0.84588	1.5371	1.53677	2.60558	2.62147	
2.96235 0.822392	0.824246	1.47212	1.47185	2.47145	2.4867	
2.97251 0.759068	0.76077	1.38736	1.38712	2.32508	2.33958	
2.98267 0.714176	0.715767	1.31706	1.31685	2.19449	2.20831	
2.99284 0.691398	0.692928	1.25093	1.25076	2.11352	2.12694	
3.003 0.663435	0.664893	1.18854	1.18838	1.99519	2.00795	
3.01316 0.617221	0.618565	1.11762	1.11748	1.90317	1.91544	
3.02332 0.600254	0.60155	1.06195	1.06182	1.80174	1.81342	
3.03349 0.559835	0.561031	1.01337	1.01324	1.71352	1.72469	
3.04365 0.538825	0.539964	0.974401	0.974279	1.63626	1.64698	
3.05381 0.518784	0.519868	0.913311	0.913193	1.55437	1.5646	
3.06397 0.492531	0.493547	0.882195	0.882076	1.4838	1.49361	
3.07414 0.476687	0.477659	0.848889	0.848768	1.4091	1.41844	
3.0843 0.46492	0.465854	0.812093	0.811969	1.36511	1.37419	
3.09446 0.442795	0.443672	0.779085	0.778957	1.29676	1.3054	
3.10462 0.434654	0.435502	0.750134	0.750001	1.27007	1.27855	
3.11479 0.417164	0.417965	0.726112	0.725973	1.2158	1.22393	
3.12495 0.400685	0.401442	0.69672	0.696575	1.18018	1.18809	
3.13511 0.39228	0.393008	0.678711	0.678558	1.14917	1.15688	
3.14527 0.379885	0.380578	0.651115	0.650957	1.09172	1.09905	
3.15544 0.376247	0.37692	0.630853	0.630687	1.06522	1.07237	
3.1656 0.364691	0.365331	0.624434	0.624257	1.03879	1.04577	
